month,year,days,report_date,journey_type,journeys_millions
2,2010,28,06/30/2010,Overground,
3,2010,31,06/30/2010,Overground,
4,2010,30,09/30/2010,Overground,
5,2010,31,09/30/2010,Overground,
6,2010,30,09/30/2010,Overground,
7,2010,31,12/31/2010,Overground,
8,2010,31,12/31/2010,Overground,5.634584968
9,2010,30,12/31/2010,Overground,5.437621108
10,2010,31,03/31/2011,Overground,3.482651646
11,2010,30,03/31/2011,Overground,5.243922841
12,2010,31,03/31/2011,Overground,5.154636957
1,2011,31,06/30/2011,Overground,6.255826688
2,2011,28,06/30/2011,Overground,6.435434169
3,2011,31,06/30/2011,Overground,6.939514058
4,2011,30,09/30/2011,Overground,7.583551011
5,2011,31,09/30/2011,Overground,7.652665925
6,2011,30,09/30/2011,Overground,7.681396324
7,2011,31,12/31/2011,Overground,8.698969452
8,2011,31,12/31/2011,Overground,8.802090147
9,2011,30,12/31/2011,Overground,9.017742087
10,2011,31,03/31/2012,Overground,6.882365476
11,2011,30,03/31/2012,Overground,8.701779664
12,2011,31,03/31/2012,Overground,8.816425055
1,2012,31,06/30/2012,Overground,8.530067297
2,2012,29,06/30/2012,Overground,8.870131388
3,2012,31,06/30/2012,Overground,8.568230412
4,2012,30,09/30/2012,Overground,8.871851218
5,2012,31,09/30/2012,Overground,10.50640562
6,2012,30,09/30/2012,Overground,9.825229929
7,2012,31,12/31/2012,Overground,9.666574601
8,2012,31,12/31/2012,Overground,9.847806267
9,2012,30,12/31/2012,Overground,9.991859874
10,2012,31,03/31/2013,Overground,8.214637796
11,2012,30,03/31/2013,Overground,10.18613218
12,2012,31,03/31/2013,Overground,10.73786676
1,2013,31,06/30/2013,Overground,10.27484354
2,2013,28,06/30/2013,Overground,10.33791163
3,2013,31,06/30/2013,Overground,10.90388008
4,2013,30,09/30/2013,Overground,11.32033596
5,2013,31,09/30/2013,Overground,10.57159315
6,2013,30,09/30/2013,Overground,10.35787157
7,2013,31,12/31/2013,Overground,11.21835925
8,2013,31,12/31/2013,Overground,9.58901815
9,2013,30,12/31/2013,Overground,10.62870273
10,2013,31,03/31/2014,Overground,8.142000786
11,2013,30,03/31/2014,Overground,10.30713502
12,2013,31,03/31/2014,Overground,10.80797722
1,2014,31,06/30/2014,Overground,9.721181807
2,2014,28,06/30/2014,Overground,10.53527559
3,2014,31,06/30/2014,Overground,10.49466896
4,2014,30,09/30/2014,Overground,10.7756373
5,2014,31,09/30/2014,Overground,10.64618227
6,2014,30,09/30/2014,Overground,10.81955554
7,2014,31,12/31/2014,Overground,10.84366212
8,2014,31,12/31/2014,Overground,11.04538765
9,2014,30,12/31/2014,Overground,11.23038825
10,2014,31,03/31/2015,Overground,8.668505227
11,2014,30,03/31/2015,Overground,11.35479264
12,2014,31,03/31/2015,Overground,11.08739821
1,2015,31,06/30/2015,Overground,13.32389054
2,2015,28,06/30/2015,Overground,11.81718347
3,2015,31,06/30/2015,Overground,14.68160573
4,2015,30,09/30/2015,Overground,14.86933322
5,2015,31,09/30/2015,Overground,13.76391107
6,2015,30,09/30/2015,Overground,13.93937148
7,2015,31,12/31/2015,Overground,15.65157073
8,2015,31,12/31/2015,Overground,15.53898643
9,2015,30,12/31/2015,Overground,15.75319307
10,2015,31,03/31/2016,Overground,11.31366562
11,2015,30,03/31/2016,Overground,15.39186469
12,2015,31,03/31/2016,Overground,14.49889317
1,2016,31,06/30/2016,Overground,15.64536191
2,2016,29,06/30/2016,Overground,14.43277766
3,2016,31,06/30/2016,Overground,13.77792909
4,2016,30,09/30/2016,Overground,14.13202587
5,2016,31,09/30/2016,Overground,13.74282798
6,2016,30,09/30/2016,Overground,14.18852051
7,2016,31,12/31/2016,Overground,15.23670263
8,2016,31,12/31/2016,Overground,15.43628028
9,2016,30,12/31/2016,Overground,15.69699568
10,2016,31,03/31/2017,Overground,11.98208519
11,2016,30,03/31/2017,Overground,14.83998874
12,2016,31,03/31/2017,Overground,14.6108366
1,2017,31,06/30/2017,Overground,14.72110999
2,2017,28,06/30/2017,Overground,14.83456338
3,2017,31,06/30/2017,Overground,14.38761568
4,2017,30,09/30/2017,Overground,14.98989134
5,2017,31,09/30/2017,Overground,14.44132847
6,2017,30,09/30/2017,Overground,14.54848112
7,2017,31,12/31/2017,Overground,15.59906054
8,2017,31,12/31/2017,Overground,15.44275651
9,2017,30,12/31/2017,Overground,15.51043386
10,2017,31,03/31/2018,Overground,11.55572814
11,2017,30,03/31/2018,Overground,14.82053681
12,2017,31,03/31/2018,Overground,14.13058085
1,2018,31,06/30/2018,Overground,14.68761425
2,2018,28,06/30/2018,Overground,14.41798508
3,2018,31,06/30/2018,Overground,14.25590317
4,2018,30,09/30/2018,Overground,14.83663807
5,2018,31,09/30/2018,Overground,14.04167186
6,2018,30,09/30/2018,Overground,14.14925828
7,2018,31,12/31/2018,Overground,15.8087653
8,2018,31,12/31/2018,Overground,15.63294442
9,2018,30,12/31/2018,Overground,15.59287265
10,2018,31,03/31/2019,Overground,11.58278136
11,2018,30,03/31/2019,Overground,14.47152417
12,2018,31,03/31/2019,Overground,14.40872535
1,2019,31,06/30/2019,Overground,13.88291925
2,2019,28,06/30/2019,Overground,14.15696308
3,2019,31,06/30/2019,Overground,13.79133005
4,2019,30,09/30/2019,Overground,14.83199116
5,2019,31,09/30/2019,Overground,12.94871815
6,2019,30,09/30/2019,Overground,13.52311989
7,2019,31,12/31/2019,Overground,17.82063199
8,2019,31,12/31/2019,Overground,17.1082871
9,2019,30,12/31/2019,Overground,15.83140693
10,2019,31,03/31/2020,Overground,10.58719779
11,2019,30,03/31/2020,Overground,14.05691148
12,2019,31,03/31/2020,Overground,15.60820526
1,2020,31,06/30/2020,Overground,0.9996926779
2,2020,29,06/30/2020,Overground,1.491889551
3,2020,31,06/30/2020,Overground,2.797743723
4,2020,30,09/30/2020,Overground,4.490086172
5,2020,31,09/30/2020,Overground,5.073182347
6,2020,30,09/30/2020,Overground,6.61931978
7,2020,31,12/31/2020,Overground,8.455669045
8,2020,31,12/31/2020,Overground,7.080423369
9,2020,30,12/31/2020,Overground,6.61382143
10,2020,31,03/31/2021,Overground,3.192937975
11,2020,30,03/31/2021,Overground,3.499736136
12,2020,31,03/31/2021,Overground,4.38364971
1,2021,31,06/30/2021,Overground,8.647541589
2,2021,28,06/30/2021,Overground,7.686087707
3,2021,31,06/30/2021,Overground,7.777896583
4,2021,30,09/30/2021,Overground,10.14764205
5,2021,31,09/30/2021,Overground,8.574371395
6,2021,30,09/30/2021,Overground,10.599299
7,2021,31,12/31/2021,Overground,12.47350367
8,2021,31,12/31/2021,Overground,11.58683787
9,2021,30,12/31/2021,Overground,12.20710486
10,2021,31,03/31/2022,Overground,6.727379039
11,2021,30,03/31/2022,Overground,9.968767686
12,2021,31,03/31/2022,Overground,10.68208527
1,2022,31,06/30/2022,Overground,11.975279
2,2022,28,06/30/2022,Overground,12.8878644
3,2022,31,06/30/2022,Overground,11.08386334
4,2022,30,09/30/2022,Overground,12.50552727
5,2022,31,09/30/2022,Overground,10.02445314
6,2022,30,09/30/2022,Overground,12.3020443
7,2022,31,12/31/2022,Overground,12.47575723
8,2022,31,12/31/2022,Overground,13.25191663
9,2022,30,12/31/2022,Overground,13.99023093
10,2022,31,03/31/2023,Overground,6.868347355
11,2022,30,03/31/2023,Overground,13.13690025
12,2022,31,03/31/2023,Overground,13.36432424
1,2010,31,06/30/2010,Emirates Airline,
2,2010,28,06/30/2010,Emirates Airline,
3,2010,31,06/30/2010,Emirates Airline,
4,2010,30,09/30/2010,Emirates Airline,
5,2010,31,09/30/2010,Emirates Airline,
6,2010,30,09/30/2010,Emirates Airline,
7,2010,31,12/31/2010,Emirates Airline,
8,2010,31,12/31/2010,Emirates Airline,
9,2010,30,12/31/2010,Emirates Airline,
10,2010,31,03/31/2011,Emirates Airline,
11,2010,30,03/31/2011,Emirates Airline,
12,2010,31,03/31/2011,Emirates Airline,
1,2011,31,06/30/2011,Emirates Airline,
2,2011,28,06/30/2011,Emirates Airline,
3,2011,31,06/30/2011,Emirates Airline,
4,2011,30,09/30/2011,Emirates Airline,
5,2011,31,09/30/2011,Emirates Airline,
6,2011,30,09/30/2011,Emirates Airline,
7,2011,31,12/31/2011,Emirates Airline,
8,2011,31,12/31/2011,Emirates Airline,
9,2011,30,12/31/2011,Emirates Airline,
10,2011,31,03/31/2012,Emirates Airline,
11,2011,30,03/31/2012,Emirates Airline,
12,2011,31,03/31/2012,Emirates Airline,
1,2012,31,06/30/2012,Emirates Airline,
2,2012,29,06/30/2012,Emirates Airline,
3,2012,31,06/30/2012,Emirates Airline,
4,2012,30,09/30/2012,Emirates Airline,0.236025
5,2012,31,09/30/2012,Emirates Airline,0.534218
6,2012,30,09/30/2012,Emirates Airline,0.381347
7,2012,31,12/31/2012,Emirates Airline,0.163217
8,2012,31,12/31/2012,Emirates Airline,0.181075
9,2012,30,12/31/2012,Emirates Airline,0.119806
10,2012,31,03/31/2013,Emirates Airline,0.11049
11,2012,30,03/31/2013,Emirates Airline,0.072604
12,2012,31,03/31/2013,Emirates Airline,0.11707
1,2013,31,06/30/2013,Emirates Airline,0.138309
2,2013,28,06/30/2013,Emirates Airline,0.128717
3,2013,31,06/30/2013,Emirates Airline,0.141628
4,2013,30,09/30/2013,Emirates Airline,0.151723
5,2013,31,09/30/2013,Emirates Airline,0.194817
6,2013,30,09/30/2013,Emirates Airline,0.168135
7,2013,31,12/31/2013,Emirates Airline,0.104226
8,2013,31,12/31/2013,Emirates Airline,0.099083
9,2013,30,12/31/2013,Emirates Airline,0.076424
10,2013,31,03/31/2014,Emirates Airline,0.068595
11,2013,30,03/31/2014,Emirates Airline,0.067098
12,2013,31,03/31/2014,Emirates Airline,0.084601
1,2014,31,06/30/2014,Emirates Airline,0.144542
2,2014,28,06/30/2014,Emirates Airline,0.107946
3,2014,31,06/30/2014,Emirates Airline,0.133305
4,2014,30,09/30/2014,Emirates Airline,0.124303
5,2014,31,09/30/2014,Emirates Airline,0.178233
6,2014,30,09/30/2014,Emirates Airline,0.170343
7,2014,31,12/31/2014,Emirates Airline,0.112802
8,2014,31,12/31/2014,Emirates Airline,0.127104
9,2014,30,12/31/2014,Emirates Airline,0.090387
10,2014,31,03/31/2015,Emirates Airline,0.093527
11,2014,30,03/31/2015,Emirates Airline,0.074935
12,2014,31,03/31/2015,Emirates Airline,0.115311
1,2015,31,06/30/2015,Emirates Airline,0.163774
2,2015,28,06/30/2015,Emirates Airline,0.145261
3,2015,31,06/30/2015,Emirates Airline,0.12034
4,2015,30,09/30/2015,Emirates Airline,0.146784
5,2015,31,09/30/2015,Emirates Airline,0.192611
6,2015,30,09/30/2015,Emirates Airline,0.123068
7,2015,31,12/31/2015,Emirates Airline,0.118785
8,2015,31,12/31/2015,Emirates Airline,0.139655
9,2015,30,12/31/2015,Emirates Airline,0.052531
10,2015,31,03/31/2016,Emirates Airline,0.08393
11,2015,30,03/31/2016,Emirates Airline,0.0740649435
12,2015,31,03/31/2016,Emirates Airline,0.1089143375
1,2016,31,06/30/2016,Emirates Airline,0.140012
2,2016,29,06/30/2016,Emirates Airline,0.128865825
3,2016,31,06/30/2016,Emirates Airline,0.112962
4,2016,30,09/30/2016,Emirates Airline,0.132425
5,2016,31,09/30/2016,Emirates Airline,0.182303
6,2016,30,09/30/2016,Emirates Airline,0.136297
7,2016,31,12/31/2016,Emirates Airline,0.09988225
8,2016,31,12/31/2016,Emirates Airline,0.118994
9,2016,30,12/31/2016,Emirates Airline,0.080307
10,2016,31,03/31/2017,Emirates Airline,0.092992
11,2016,30,03/31/2017,Emirates Airline,0.07872
12,2016,31,03/31/2017,Emirates Airline,0.108992
1,2017,31,06/30/2017,Emirates Airline,0.1556929776
2,2017,28,06/30/2017,Emirates Airline,0.1134019914
3,2017,31,06/30/2017,Emirates Airline,0.1131988499
4,2017,30,09/30/2017,Emirates Airline,0.129216
5,2017,31,09/30/2017,Emirates Airline,0.179892
6,2017,30,09/30/2017,Emirates Airline,0.121204
7,2017,31,12/31/2017,Emirates Airline,0.0974124
8,2017,31,12/31/2017,Emirates Airline,0.112178
9,2017,30,12/31/2017,Emirates Airline,0.075648
10,2017,31,03/31/2018,Emirates Airline,0.064841
11,2017,30,03/31/2018,Emirates Airline,0.065853
12,2017,31,03/31/2018,Emirates Airline,0.091732
1,2018,31,06/30/2018,Emirates Airline,0.120445
2,2018,28,06/30/2018,Emirates Airline,0.112407
3,2018,31,06/30/2018,Emirates Airline,0.111652
4,2018,30,09/30/2018,Emirates Airline,0.118382
5,2018,31,09/30/2018,Emirates Airline,0.156557
6,2018,30,09/30/2018,Emirates Airline,0.123294
7,2018,31,12/31/2018,Emirates Airline,0.089514
8,2018,31,12/31/2018,Emirates Airline,0.124189
9,2018,30,12/31/2018,Emirates Airline,0.072416
10,2018,31,03/31/2019,Emirates Airline,0.090213
11,2018,30,03/31/2019,Emirates Airline,0.063434
12,2018,31,03/31/2019,Emirates Airline,0.098609
1,2019,31,06/30/2019,Emirates Airline,0.113705
2,2019,28,06/30/2019,Emirates Airline,0.101827
3,2019,31,06/30/2019,Emirates Airline,0.111004
4,2019,30,09/30/2019,Emirates Airline,0.111299
5,2019,31,09/30/2019,Emirates Airline,0.140624
6,2019,30,09/30/2019,Emirates Airline,0.132138
7,2019,31,12/31/2019,Emirates Airline,0.08751
8,2019,31,12/31/2019,Emirates Airline,0.104711
9,2019,30,12/31/2019,Emirates Airline,0.075864
10,2019,31,03/31/2020,Emirates Airline,0.086786
11,2019,30,03/31/2020,Emirates Airline,0.060013
12,2019,31,03/31/2020,Emirates Airline,0.061136
1,2020,31,06/30/2020,Emirates Airline,0.000169
2,2020,29,06/30/2020,Emirates Airline,0.004978
3,2020,31,06/30/2020,Emirates Airline,0.015716
4,2020,30,09/30/2020,Emirates Airline,0.030059
5,2020,31,09/30/2020,Emirates Airline,0.060884
6,2020,30,09/30/2020,Emirates Airline,0.062419
7,2020,31,12/31/2020,Emirates Airline,0.039569
8,2020,31,12/31/2020,Emirates Airline,0.033097
9,2020,30,12/31/2020,Emirates Airline,0.02052
10,2020,31,03/31/2021,Emirates Airline,0.029085
11,2020,30,03/31/2021,Emirates Airline,0.018906
12,2020,31,03/31/2021,Emirates Airline,0.050903
1,2021,31,06/30/2021,Emirates Airline,0.145264
2,2021,28,06/30/2021,Emirates Airline,0.056832
3,2021,31,06/30/2021,Emirates Airline,0.112039
4,2021,30,09/30/2021,Emirates Airline,0.104728
5,2021,31,09/30/2021,Emirates Airline,0.18938
6,2021,30,09/30/2021,Emirates Airline,0.163673
7,2021,31,12/31/2021,Emirates Airline,0.096853
8,2021,31,12/31/2021,Emirates Airline,0.117665
9,2021,30,12/31/2021,Emirates Airline,0.073496
10,2021,31,03/31/2022,Emirates Airline,0.093056
11,2021,30,03/31/2022,Emirates Airline,0.063676
12,2021,31,03/31/2022,Emirates Airline,0.082282
1,2022,31,06/30/2022,Emirates Airline,0.130421
2,2022,28,06/30/2022,Emirates Airline,0.116952
3,2022,31,06/30/2022,Emirates Airline,0.146054
4,2022,30,09/30/2022,Emirates Airline,0.128628
5,2022,31,09/30/2022,Emirates Airline,0.186278
6,2022,30,09/30/2022,Emirates Airline,0.149744
7,2022,31,12/31/2022,Emirates Airline,0.108961
8,2022,31,12/31/2022,Emirates Airline,0.121923
9,2022,30,12/31/2022,Emirates Airline,0.056559
10,2022,31,03/31/2023,Emirates Airline,0.095808
11,2022,30,03/31/2023,Emirates Airline,0.077991
12,2022,31,03/31/2023,Emirates Airline,0.116734
1,2010,31,06/30/2010,TfL Rail,
2,2010,28,06/30/2010,TfL Rail,
3,2010,31,06/30/2010,TfL Rail,
4,2010,30,09/30/2010,TfL Rail,
5,2010,31,09/30/2010,TfL Rail,
6,2010,30,09/30/2010,TfL Rail,
7,2010,31,12/31/2010,TfL Rail,
8,2010,31,12/31/2010,TfL Rail,
9,2010,30,12/31/2010,TfL Rail,
10,2010,31,03/31/2011,TfL Rail,
11,2010,30,03/31/2011,TfL Rail,
12,2010,31,03/31/2011,TfL Rail,
1,2011,31,06/30/2011,TfL Rail,
2,2011,28,06/30/2011,TfL Rail,
3,2011,31,06/30/2011,TfL Rail,
4,2011,30,09/30/2011,TfL Rail,
5,2011,31,09/30/2011,TfL Rail,
6,2011,30,09/30/2011,TfL Rail,
7,2011,31,12/31/2011,TfL Rail,
8,2011,31,12/31/2011,TfL Rail,
9,2011,30,12/31/2011,TfL Rail,
10,2011,31,03/31/2012,TfL Rail,
11,2011,30,03/31/2012,TfL Rail,
12,2011,31,03/31/2012,TfL Rail,
1,2012,31,06/30/2012,TfL Rail,
2,2012,29,06/30/2012,TfL Rail,
3,2012,31,06/30/2012,TfL Rail,
4,2012,30,09/30/2012,TfL Rail,
5,2012,31,09/30/2012,TfL Rail,
6,2012,30,09/30/2012,TfL Rail,
7,2012,31,12/31/2012,TfL Rail,
8,2012,31,12/31/2012,TfL Rail,
9,2012,30,12/31/2012,TfL Rail,
10,2012,31,03/31/2013,TfL Rail,
11,2012,30,03/31/2013,TfL Rail,
12,2012,31,03/31/2013,TfL Rail,
1,2013,31,06/30/2013,TfL Rail,
2,2013,28,06/30/2013,TfL Rail,
3,2013,31,06/30/2013,TfL Rail,
4,2013,30,09/30/2013,TfL Rail,
5,2013,31,09/30/2013,TfL Rail,
6,2013,30,09/30/2013,TfL Rail,
7,2013,31,12/31/2013,TfL Rail,
8,2013,31,12/31/2013,TfL Rail,
9,2013,30,12/31/2013,TfL Rail,
10,2013,31,03/31/2014,TfL Rail,
11,2013,30,03/31/2014,TfL Rail,
12,2013,31,03/31/2014,TfL Rail,
1,2014,31,06/30/2014,TfL Rail,2.854854521
2,2014,28,06/30/2014,TfL Rail,
3,2014,31,06/30/2014,TfL Rail,
4,2014,30,09/30/2014,TfL Rail,
5,2014,31,09/30/2014,TfL Rail,
6,2014,30,09/30/2014,TfL Rail,
7,2014,31,12/31/2014,TfL Rail,
8,2014,31,12/31/2014,TfL Rail,
9,2014,30,12/31/2014,TfL Rail,
10,2014,31,03/31/2015,TfL Rail,
11,2014,30,03/31/2015,TfL Rail,
12,2014,31,03/31/2015,TfL Rail,
1,2015,31,06/30/2015,TfL Rail,
2,2015,28,06/30/2015,TfL Rail,
3,2015,31,06/30/2015,TfL Rail,3.619042039
4,2015,30,09/30/2015,TfL Rail,3.774568028
5,2015,31,09/30/2015,TfL Rail,3.670933403
6,2015,30,09/30/2015,TfL Rail,3.733603486
7,2015,31,12/31/2015,TfL Rail,4.143011094
8,2015,31,12/31/2015,TfL Rail,4.150729505
9,2015,30,12/31/2015,TfL Rail,4.179697757
10,2015,31,03/31/2016,TfL Rail,2.964734366
11,2015,30,03/31/2016,TfL Rail,3.767157214
12,2015,31,03/31/2016,TfL Rail,3.234045687
1,2016,31,06/30/2016,TfL Rail,3.99836286
2,2016,29,06/30/2016,TfL Rail,3.694140364
3,2016,31,06/30/2016,TfL Rail,3.508856093
4,2016,30,09/30/2016,TfL Rail,3.808085695
5,2016,31,09/30/2016,TfL Rail,3.588850528
6,2016,30,09/30/2016,TfL Rail,3.469032082
7,2016,31,12/31/2016,TfL Rail,3.738489267
8,2016,31,12/31/2016,TfL Rail,3.826849348
9,2016,30,12/31/2016,TfL Rail,4.011194419
10,2016,31,03/31/2017,TfL Rail,3.324919393
11,2016,30,03/31/2017,TfL Rail,3.768952394
12,2016,31,03/31/2017,TfL Rail,3.586700892
1,2017,31,06/30/2017,TfL Rail,3.290075087
2,2017,28,06/30/2017,TfL Rail,3.516487515
3,2017,31,06/30/2017,TfL Rail,3.38090789
4,2017,30,09/30/2017,TfL Rail,3.708985052
5,2017,31,09/30/2017,TfL Rail,3.465754813
6,2017,30,09/30/2017,TfL Rail,3.295722397
7,2017,31,12/31/2017,TfL Rail,3.838819483
8,2017,31,12/31/2017,TfL Rail,3.734557827
9,2017,30,12/31/2017,TfL Rail,3.878285941
10,2017,31,03/31/2018,TfL Rail,2.872382665
11,2017,30,03/31/2018,TfL Rail,3.676614535
12,2017,31,03/31/2018,TfL Rail,3.379773701
1,2018,31,06/30/2018,TfL Rail,3.546085812
2,2018,28,06/30/2018,TfL Rail,3.67820478
3,2018,31,06/30/2018,TfL Rail,4.167131236
4,2018,30,09/30/2018,TfL Rail,4.478725836
5,2018,31,09/30/2018,TfL Rail,4.104271931
6,2018,30,09/30/2018,TfL Rail,4.140986788
7,2018,31,12/31/2018,TfL Rail,4.722366976
8,2018,31,12/31/2018,TfL Rail,4.684184207
9,2018,30,12/31/2018,TfL Rail,4.62602119
10,2018,31,03/31/2019,TfL Rail,3.859436726
11,2018,30,03/31/2019,TfL Rail,4.56039029
12,2018,31,03/31/2019,TfL Rail,4.397425641
1,2019,31,06/30/2019,TfL Rail,4.323124821
2,2019,28,06/30/2019,TfL Rail,4.47809398
3,2019,31,06/30/2019,TfL Rail,4.385749612
4,2019,30,09/30/2019,TfL Rail,4.628816499
5,2019,31,09/30/2019,TfL Rail,4.281006498
6,2019,30,09/30/2019,TfL Rail,4.260005959
7,2019,31,12/31/2019,TfL Rail,4.861940962
8,2019,31,12/31/2019,TfL Rail,4.895068741
9,2019,30,12/31/2019,TfL Rail,4.963376783
10,2019,31,03/31/2020,TfL Rail,4.346181188
11,2019,30,03/31/2020,TfL Rail,5.668711093
12,2019,31,03/31/2020,TfL Rail,5.240511429
1,2020,31,06/30/2020,TfL Rail,0.5946148387
2,2020,29,06/30/2020,TfL Rail,0.7002181766
3,2020,31,06/30/2020,TfL Rail,1.15834799
4,2020,30,09/30/2020,TfL Rail,1.636938471
5,2020,31,09/30/2020,TfL Rail,1.951687613
6,2020,30,09/30/2020,TfL Rail,2.221982734
7,2020,31,12/31/2020,TfL Rail,2.47825691
8,2020,31,12/31/2020,TfL Rail,2.123956284
9,2020,30,12/31/2020,TfL Rail,2.076430425
10,2020,31,03/31/2021,TfL Rail,1.218441048
11,2020,30,03/31/2021,TfL Rail,1.154206467
12,2020,31,03/31/2021,TfL Rail,1.363278027
1,2021,31,06/30/2021,TfL Rail,2.120411056
2,2021,28,06/30/2021,TfL Rail,2.312614833
3,2021,31,06/30/2021,TfL Rail,2.714845605
4,2021,30,09/30/2021,TfL Rail,2.806712186
5,2021,31,09/30/2021,TfL Rail,2.8
6,2021,30,09/30/2021,TfL Rail,3.097643
7,2021,31,12/31/2021,TfL Rail,3.7
8,2021,31,12/31/2021,TfL Rail,3.7
9,2021,30,12/31/2021,TfL Rail,3.3
10,2021,31,03/31/2022,TfL Rail,2.4
11,2021,30,03/31/2022,TfL Rail,3.2
12,2021,31,03/31/2022,TfL Rail,3.1
1,2022,31,06/30/2022,TfL Rail,4.3747
2,2022,28,06/30/2022,TfL Rail,5.496774
3,2022,31,06/30/2022,TfL Rail,8.062123
4,2022,30,09/30/2022,TfL Rail,11.627377
5,2022,31,09/30/2022,TfL Rail,9.177708
6,2022,30,09/30/2022,TfL Rail,9.780669
7,2022,31,12/31/2022,TfL Rail,11.049603
8,2022,31,12/31/2022,TfL Rail,12.51585
9,2022,30,12/31/2022,TfL Rail,15.223201
10,2022,31,03/31/2023,TfL Rail,8.875033
11,2022,30,03/31/2023,TfL Rail,13.40484
12,2022,31,03/31/2023,TfL Rail,14.041961